age_group,gender,symptoms,recommended_drug,drug_category,advisor_note,seek_care_if,source
adult,Female,"fever, headache, and body ache",Paracetamol,Antipyretic / analgesic,"Often used for mild fever or general aches when appropriate. Avoid exceeding label limits.","Seek care if fever is high, lasts more than 3 days, or comes with breathing trouble, confusion, or rash.",seed
adult,Male,"low grade fever with chills and fatigue",Paracetamol,Antipyretic / analgesic,"Often used for mild fever or general aches when appropriate. Avoid exceeding label limits.","Seek care if fever is high, lasts more than 3 days, or comes with breathing trouble, confusion, or rash.",seed
teen,Female,"viral fever and mild headache",Paracetamol,Antipyretic / analgesic,"Often used for mild fever or general aches when appropriate. Avoid exceeding label limits.","Seek care if fever is high, lasts more than 3 days, or comes with breathing trouble, confusion, or rash.",seed
child,Male,"fever with sore body and tiredness",Paracetamol,Antipyretic / analgesic,"Often used for mild fever or general aches when appropriate. Avoid exceeding label limits.","Seek care if fever is high, lasts more than 3 days, or comes with breathing trouble, confusion, or rash.",seed
senior,Female,"mild fever after vaccination and body pain",Paracetamol,Antipyretic / analgesic,"Often used for mild fever or general aches when appropriate. Avoid exceeding label limits.","Seek care if fever is high, lasts more than 3 days, or comes with breathing trouble, confusion, or rash.",seed
adult,Prefer not to say,"cold, fever, and headache",Paracetamol,Antipyretic / analgesic,"Often used for mild fever or general aches when appropriate. Avoid exceeding label limits.","Seek care if fever is high, lasts more than 3 days, or comes with breathing trouble, confusion, or rash.",seed
adult,Female,"muscle pain after workout and sore back",Ibuprofen,NSAID / pain relief,"May help short-term muscle pain or inflammatory aches. Avoid if you have ulcer disease, kidney disease, or NSAID allergy.","Seek care if pain follows major injury, chest pain, black stools, severe swelling, or persistent vomiting.",seed
adult,Male,"joint ache with mild swelling and stiffness",Ibuprofen,NSAID / pain relief,"May help short-term muscle pain or inflammatory aches. Avoid if you have ulcer disease, kidney disease, or NSAID allergy.","Seek care if pain follows major injury, chest pain, black stools, severe swelling, or persistent vomiting.",seed
adult,Female,"menstrual cramps and lower back pain",Ibuprofen,NSAID / pain relief,"May help short-term muscle pain or inflammatory aches. Avoid if you have ulcer disease, kidney disease, or NSAID allergy.","Seek care if pain follows major injury, chest pain, black stools, severe swelling, or persistent vomiting.",seed
senior,Male,"shoulder pain with inflammation after lifting",Ibuprofen,NSAID / pain relief,"May help short-term muscle pain or inflammatory aches. Avoid if you have ulcer disease, kidney disease, or NSAID allergy.","Seek care if pain follows major injury, chest pain, black stools, severe swelling, or persistent vomiting.",seed
adult,Non-binary,"sprain pain and mild ankle swelling",Ibuprofen,NSAID / pain relief,"May help short-term muscle pain or inflammatory aches. Avoid if you have ulcer disease, kidney disease, or NSAID allergy.","Seek care if pain follows major injury, chest pain, black stools, severe swelling, or persistent vomiting.",seed
